Date,open,high,low,close,volume,market_cap,year_week
2017-03-24,984.2979692466666,1007.4312418133333,928.80915885,960.76463673,136932.9432822067,131478362.609779,2017-week(12)
2017-03-27,970.05196739,1047.02618275,964.69037219,1046.10583705,107783.60960463,112753063.14591315,2017-week(13)
2017-03-28,1045.56599508,1067.36280311,1020.44610388,1045.55902052,101568.79531326,106196170.14313538,2017-week(13)
2017-03-29,1045.58777119,1056.96245868,1013.05695303,1042.14462398,88586.39325021,92319833.48338269,2017-week(13)
2017-03-30,1043.04244697,1052.56899175,1025.92174746,1039.7345524,90035.8190112,93613351.97961111,2017-week(13)
2017-03-31,1069.1270236466669,1100.5194789900002,1063.3578595733334,1089.12804932,80618.15922556333,87698556.96486758,2017-week(13)
2017-04-03,1101.47262798,1157.3060097,1101.47262798,1148.42772194,107983.7674412,124011552.04856688,2017-week(14)
2017-04-04,1149.31412534,1159.58666309,1127.04247861,1142.13327471,82832.40041254,94605640.73564766,2017-week(14)
2017-04-05,1143.99790652,1145.11488566,1116.44990502,1131.52420309,83785.79440142,94805654.24007206,2017-week(14)
2017-04-06,1132.70038941,1202.32699374,1132.70038941,1192.25376297,103626.46351164,123549041.0645259,2017-week(14)
2017-04-07,1187.99052877,1205.0205664033335,1176.09052363,1193.3152401466666,59039.74767453334,70479963.72151576,2017-week(14)
2017-04-10,1208.04642021,1218.77422862,1202.3188731,1209.8453916,49187.75447476,59509578.07435835,2017-week(15)
2017-04-11,1210.7979668,1231.03522139,1203.96694613,1224.27785683,55060.05890413,67408810.91198717,2017-week(15)
2017-04-12,1225.06641276,1227.45127263,1213.93693193,1216.63400816,55625.83535794,67676283.02865277,2017-week(15)
2017-04-13,1216.6371869,1222.17250034,1162.40564158,1178.71466155,82249.44776934,96948629.99015293,2017-week(15)
2017-04-14,1184.8823769433334,1197.9852483666666,1176.37615601,1187.4151806466664,43411.513894209995,51578225.60133637,2017-week(15)
2017-04-17,1188.34898603,1214.7847603,1185.16546726,1210.80337352,57137.22000997,69181938.741383,2017-week(16)
2017-04-18,1210.15651761,1235.0226034,1209.63471797,1226.59157887,58276.5039751,71481469.02210884,2017-week(16)
2017-04-19,1226.71867158,1230.10926467,1216.41123872,1223.79625739,54592.09181307,66809597.64390673,2017-week(16)
2017-04-20,1224.62878802,1266.02837893,1224.29133066,1257.72320989,64640.87246018,81300325.60082167,2017-week(16)
